text,target_word,year,entry_start_year,rank,top_10_words
"The forms and methods of economic management, both micro and macro",macro,1974,1933.0,1,macro|macroeconomic|meso|macroeconomics|macrolevel|macroscopic|mezzo|mac|mega|maco
"I often practised my judo. I..was, by this time, a 4th Dan",dan,1941,1941.0,1,dan|degree|kyu|or|grade|dans|class|kup|level|kyū
"The direct current (DC) signals which flow through a computer cannot be transmitted over telephone lines, so it is necessary to convert them... The black box which does this conversion at either end of the line is called a modem",modem,1958,1958.0,1,modem|modulator|telephone|terminal|dc|data|transformer|teletype|transceiver|transmitter
SNC was receiving its ABC News video (and Metromedia's WNEW-TV news feeds) from New York via terrestrial microwave,microwave,1968,1931.0,1,microwave|fiber|cable|links|satellite|transmission|line|lines|uhf|link
His name has been published in American newspapers with a total circulation of 2.5 million and can be easily found on the Internet,internet,1974,1974.0,1,internet|web|world|net|google|search|website|worldwide|major|websites
A small group of bases that codes one amino acid has recently been named a codon,codon,1962,1962.0,1,codon|gene|family|trna|pseudogene|domain|pseudo|superfamily|protein|clade
"A variety of instrumental, choral and solo recordings, both monaural and binaural ( stereo",stereo,1954,1954.0,1,stereo|stereophonic|headphones|http|hemisphere|headphone|encoded|headsets|sterophonic|music
"Citizens usually bring matters to police attention... The police department deals with such requests as a reactive organization ... The police also acquire information by intervening in the lives of citizens on their own initiative. In this capacity, they serve as a proactive",proactive,1951,1933.0,1,proactive|source|kind|catalyst|sort|type|preventive|form|social|pro
"Nestled snugly into a cattle-class seat aboard a 737, you drop your tray table and open your laptop",laptop,1983,1983.0,1,laptop|book|in|copy|eyes|tray|inflight|lap|computer|mouth
"‘Network’ is a noun referring to entire social or family network as the unit of intervention... The techniques..described by Speck and Attneave..are those of assembling the social network, which they prefer to call a process of retribalization rather than ‘ networking",networking,1976,1940.0,1,networking|network|networks|referral|family|intervention|reunion|reconnecting|networked|social
"Working at the CERN atom smasher in Geneva, the team managed to construct antihydrogen from the anti-matter equivalent of a proton and an electron—an antiproton and a positron",positron,1933,1933.0,1,positron|pion|negatively|positively|positrion|negative|neutrino|strange|positive|p
"We seem to need words which will briefly indicate action by two kinds of chemical transmission, due in the one case to some substance like adrenaline, in the other case to a substance like acetylcholine, so that we may distinguish between chemical function and anatomical origin. I suggest the words ‘adrenergic’ and ‘ cholinergic",cholinergic,1934,1934.0,1,cholinergic|muscarinic|cholinoid|cholino|nicotinic|cholingeric|ach|peptidergic|neuromuscular|achergic
"It seems that mountain relief, islands, lakes, the holes in Appenzeller and Ementhaler cheeses, the craters of the moon, the distribution of stars close to us in the galaxy and a good deal more can be described by the use of generalized Brownian motions and the idea of the fractal",fractal,1975,1975.0,1,fractal|brownian|ergodic|distribution|mean|free|probability|generalized|effective|random
There is a tendency for each side to counter the other pressure with a somewhat stronger one of its own. This increasing pressure step by step is called ‘ escalation,escalation,1938,1938.0,1,escalation|escalate|escalating|pressure|the|tit|escalatory|press|mutual|accumulation
"More clients are going to naturopaths, chiropractors and faith healers, or are trying fashionable psychological health movements, such as dianetics and est",est,1973,1973.0,1,est|the|transcendental|reiki|rebirthing|scientology|primal|past|neuro|holotropic
"Lorna showed us into the villa and put some low, slow background music on the stereo",stereo,1964,1954.0,1,stereo|cd|sound|radio|hi|bose|ipod|system|tv|speakers
The Google API allows anyone to write programs and create web pages that search Google's database,database,1962,1953.0,1,database|index|vast|public|massive|databases|web|entire|publicly|data
"Such a congeries of interconnected text may incorporate and have available many chunks of literature on a given subject, or many subjects, purposely assembled and woven together by authors and editors. The name for this new medium is hypertext",hypertext,1965,1965.0,1,hypertext|a|the|not|still|e|an|literature|derived|electronic
Apparently anyone who believes in genetic racial differences is a ‘racist’... I suppose by analogy that anyone who believes in genetic sex differences is a ‘ sexist,sexist,1949,1949.0,1,sexist|misogynist|misandrist|genderist|patriarch|gender|sexism|sex|females|feminazi
"Some insects have evolved to emit high-pitched squeaks of their own, signals that may disrupt the bat's sonar",sonar,1953,1943.0,1,sonar|ability|radar|hearing|navigation|echo|sense|hunting|own|hunt
"In the case of a biosensor that measures the level of a toxin in a water sample, the toxin is the analyte",analyte,1955,1955.0,1,analyte|target|biomarker|signal|ligand|input|substance|biological|variable|probe
"It is recommended that the new unit for luminous intensity (which is such that the luminance or photometric brightness of a black body at the temperature of freezing platinum equals 60 units of intensity per square centimetre) shall be called in all countries by the Latin name ‘candela’, with the symbol ‘ cd",cd,1950,1950.0,1,cd|c|l|lm|candela|luminous|lx|cand|lux|candles
"He describes encounters with people from a variety of backgrounds and sexual predilections—hetero, homo, bi, and trans",trans,1973,1973.0,1,trans|everything|transgender|transgendered|asexual|beyond|even|more|otherwise|transsexual
"A recent demonstration..showed a toy train in accurate three-dimensional representation, using a hologram illuminated from behind by a gas laser",laser,1960,1960.0,1,laser|discharge|flame|jet|plasma|lamp|of|arc|light|burner
"The traditional route to market for some entrepreneurs is being turned into a two-way street, thanks to the new trend of crowdfunding",crowdfunding,2007,2007.0,1,crowdfunding|reverse|co|peer|pop|crowdsourcing|online|crowd|social|collaborative
The chain..expected to sell two touch-screen tablets to every one laptop,laptop,1983,1983.0,2,of|laptop|ipad|pc|notebook|it|desktop|sold|that|apple
"The discovery that it also caused cancer of the uterus was only a temporary setback; Wyeth Pharmaceuticals..quickly came out with Prempro, a combination of Premarin and synthetic progesterone",progesterone,1935,1935.0,2,estrogen|progesterone|progestin|provera|estrogens|progestins|estradiol|hormones|progestogen|hormone
Many important spatial patterns of Nature are either irregular or fragmented to such an extreme degree that..classical geometry..is hardly of any help in describing their form... I hope to show that it is possible in many cases to remedy this absence of geometric representation by using a family of shapes I propose to call fractals,fractal,1975,1975.0,2,fractals|fractal|irregular|the|hyperbolic|cellular|self|b|complex|attractors
"In 1971..the Intel Corporation, which had undertaken to develop a calculator chip, chose to design it as a more versatile programmable, single-chip microprocessor",microprocessor,1969,1969.0,2,computer|microprocessor|microcomputer|minicomputer|calculator|processor|device|system|digital|cpu
"The Calgary Region Home Builders Association forecast calls for 6,503 singles and 3,067 multis",multi,1986,1986.0,2,attached|multi|condos|duplexes|semis|semi|multiple|townhouses|low|townhomes
"In spite of their desperate efforts last week, the results of the three divisions showed that United party members stand firmly behind General Smuts, and with him refuse to have anything to with the Nationalists' non-European policy of ‘ apartheid",apartheid,1947,1947.0,2,separate|apartheid|racial|white|segregation|separation|seperate|apartness|coloured|whites
Each of the networks supports the DARPA transmission protocol as they are a part of the DARPA Internet,internet,1974,1974.0,2,network|internet|net|project|family|research|community|system|program|transmission
This paper describes an enzyme system synthesizing threonine from homoserine; we have called it threonine synthase,synthase,1954,1954.0,2,synthetase|synthase|deaminase|dehydratase|biosynthetic|synthetic|biosynthesis|synthesis|dehydrogenase|kinase
"If you just can't decide what to give that special enviro-head on your holiday list, turn to the National Green Pages, a directory to all things eco",eco,1989,1989.0,2,green|eco|environmentally|sustainable|earth|organic|environmental|natural|ecologically|socially
"A black comedy directed by John Huston also earned a best..supporting actor nomination for William Hickey, as the ageing Mafia don",don,1952,1952.0,2,boss|don|kingpin|chieftain|hitman|capo|chief|hit|figure|leader
"Such is the Netflix way: if you want a recap, feel free to dip back into the previous series, still there in its entirety on their website",website,1993,1993.0,2,streaming|website|service|site|platform|servers|library|online|app|digital
"The instinctive tendency of the Latin American to desire to prove his manliness, to establish himself as a macho",macho,1943,1943.0,3,man|hero|macho|real|leader|member|virile|master|worthy|strong
"Several time slots may be needed to complete a message, which is protected from enemy eavesdropping by encryption",encryption,1960,1960.0,3,the|a|encryption|an|using|its|means|changing|being|scrambling
"The unit of heavy hydrogen, the deuteron, or deuton, as it has been called, bids fair to rival in interest its recently found cousins, the neutron and positron",positron,1933,1933.0,3,the|proton|positron|pion|muon|meson|pi|electron|its|alpha
"The next thing you know, his friends have forwarded it [ sc. an animation of a dancing baby] on and it's become a net meme",meme,1998,1976.0,3,phenomenon|sensation|meme|virus|hit|joke|thing|classic|fad|legend
"They communicated over regular telephone lines, using teletypewriters connected to the lines by electronic devices known as modems",modem,1958,1958.0,3,modems|acoustic|modem|tone|teleprinters|automatic|a|telephone|pulse|line
"Users not on the Internet can access the catalog via dial-in phone lines, making the catalog available to any user with a modem",modem,1958,1958.0,3,telephone|phone|modem|computer|touch|standard|personal|pc|touchtone|regular
"The methods of killing varied from mass shootings to the establishment of death camps, containing gas chambers and crematoria, creating an organized system of genocide",genocide,1944,1944.0,3,mass|extermination|genocide|death|murder|killing|terror|systematic|state|destruction
The possibility of transmitting a pulse of radio signals to the moon..was often discussed in the early days of radar,radar,1957,1941.0,3,radio|the|radar|space|television|rocketry|communications|wireless|this|science
Chest x-rays expose people to approximately 0.01 rems,rem,1947,1947.0,4,msv|to|mrem|rem|millirem|rads|microsieverts|rad|mgy|μsv
"In the phaeodarian endoplasm are numerous strange tubes, called rodlets, about 200 nm",nm,1963,1963.0,4,of|to|in|nm|microns|μm|per|micrometers|micrometres|µ
"Mouse and human placental tissue contains a large number of mononuclear phagocytes. These cells, isolated from placenta, were shown to produce the multifaceted immune factor interleukin",interleukin,1979,1979.0,4,il|interferon|called|interleukin|known|granulocyte|ifn|gm|tumor|tnf
"A variety of developmental teams, departments, and individual employees have home pages on the intranet",intranet,1977,1977.0,4,web|world|internet|intranet|site|university|company|network|ibm|campus
"To avoid having to write the groups repeatedly, the programmer..instructs the machine to establish a table in which it stores the group of instructions. To identify the group, he assigns a code name, called a macro",macro,1959,1959.0,5,label|mnemonic|group|tag|macro|program|symbol|descriptor|name|code
"Just as the positive hole can be pictured as a collectivized positron, the excited state can be pictured as a kind of particle which we shall call a (collectivized) exciton",exciton,1936,1936.0,5,electron|hole|negative|positron|exciton|positronium|photon|positive|quark|excited
Acheson has suggested that the morphinans and other synthetic morphine substitutes should be called opioids,opioid,1955,1955.0,6,synthetic|opiates|the|by|opioids|opioid|opiate|morphine|morphines|not
Most of us have heard the tale about the doting matron who tries to dry her damp dog in the microwave,microwave,1972,1931.0,6,kitchen|dryer|oven|bath|bathroom|microwave|bathtub|clothes|shower|morning
A recent study of wireline data communications..has underlined the need for advancement in the field of data modulators-demodulators ( modems,modem,1958,1958.0,6,modems|mod|mods|demodulators|dm|modem|modulation|modulators|demod|demods
From the late 1870s to the 1960s the United States maintained and perpetuated a system of racial apartheid,apartheid,1952,1947.0,6,segregation|oppression|discrimination|and|inequality|apartheid|hierarchy|caste|subordination|slavery
We have observed the effects on wool growth of treating sheep with adrenocorticotrophic hormone and with cortical steroids,steroid,1936,1936.0,6,extracts|extract|steroids|hormones|and|steroid|cells|hormone|tissue|or
"A company called Carter synthesized that chemical and sold it as Miltown, an anxiolytic that became the first pharmaceutical blockbuster",blockbuster,1942,1942.0,6,to|drug|treatment|marketed|product|blockbuster|antidepressant|approved|ever|tranquilizer
The use of acoustic energy to perform all those functions in hydrospace for which electromagnetic energy is employed in aerospace,aerospace,1959,1955.0,6,the|air|free|space|electrospace|aerospace|airspace|atmosphere|other|atmospheres
We were all watching old Super-8 movies from the '60s and '70s that had been transferred to videotape,videotape,1953,1953.0,6,dvd|digital|video|vhs|a|videotape|dvds|the|dv|tape
"The corporation discovered that the more it borrowed, the higher the earnings and the higher the stock, so it began to leverage",leverage,1937,1937.0,7,borrow|take|increase|use|do|go|leverage|expand|buy|issue
I am unable to understand pop words seated 3ft away from a high quality stereo,stereo,1964,1954.0,7,speaker|sound|pa|loudspeaker|pair|set|stereo|audio|system|monitor
The Head is forever seeking new sources of inspiration. They are often not easy to access,access,1953,1953.0,7,find|come|spot|locate|identify|discover|access|track|pin|define
There has been developed a unique method of food preparation making use of the heat generated inside food by the absorption of microwaves,microwave,1931,1931.0,8,water|the|infrared|a|microwaves|radio|energy|microwave|heat|light
Myosin B is a stoichiometric compound of myosin A and another substance. We will call this other substance ‘ actin,actin,1942,1942.0,9,myosin|substance|factor|muscle|other|myelin|motor|myo|actin|adaptor
Inside the portals of the United States Supreme Court..the great issue of racial segregation in education was being debated. On one side were the spokesmen for American Apartheid,apartheid,1952,1947.0,9,negroes|education|society|public|justice|negro|business|liberalism|apartheid|democracy
Many mammary cancers would regress when the influence of the female sex hormone was lessened by removal of the ovaries or by injections of testosterone,testosterone,1935,1935.0,9,a|drugs|the|an|anti|estrogen|gnrh|hormones|testosterone|chemicals
I want to study psychiatry when I get through med,med,1931,1931.0,10,with|college|my|school|medical|high|the|this|university|med
"With TV-quality movies and webstreams, CD-quality music, and interactive games, we are setting new standards for online multimedia",multimedia,1981,1950.0,11,entertainment|video|media|content|gaming|communication|communications|experiences|delivery|services
An analog tape recorder was used to store the analog video signal from each pixel,pixel,1965,1965.0,11,camera|of|video|channel|frame|television|tv|ccd|individual|source
"She looked stretched, unstable, too bright, as if she were on the point of flying apart like an exploding lightbulb, like a supernova",supernova,1932,1932.0,12,star|balloon|firework|candle|woman|piece|glass|soap|paper|bubble
"Everybody was there for the music, nobody was there just to buy merch",merch,1957,1957.0,13,a|the|something|stuff|records|cds|things|tickets|an|my
The nucleic acid of the chromosomes forms a ‘messenger’ molecule which leaves the nucleus and joins particles in the cytoplasm which are called ribosomes,ribosome,1958,1958.0,14,ribosomes|ribonucleic|the|chromosomes|messenger|mitochondria|chromatin|rna|proteins|nucleosomes
Gloria Gaynor..proudly announced that she does not feel boxed in by disco,disco,1975,1957.0,14,her|the|any|being|a|one|labels|gender|genre|age
"The term ‘systemic stress’ is sometimes loosely employed also to denote the stimuli which cause systemic stress. In this sense, it is preferable however, to speak of alarming stimuli or ‘ stressors",stressor,1950,1950.0,15,stressors|stressful|alarms|alarm|stress|danger|stresses|fearful|stressing|frightening
"At each monomer active site the two iron atoms can be bridged by two small, inorganic ligands",ligand,1952,1938.0,15,molecules|ligands|ions|groups|rings|metal|anions|bridging|complexes|atoms
"These results all suggest that lymphokine production..represents a general biologic phenomenon... Thus, such mediator substances should be more properly called ‘ cytokines",cytokine,1974,1974.0,17,lymphokines|cytokines|lymphokine|growth|immune|biologic|inflammatory|tumor|intercellular|cell
Many of those using the directed approach also plan to try to improve the T-cell response using immune-signalling molecules known as cytokines,cytokine,1974,1974.0,17,cytokines|adjuvants|checkpoint|agonists|co|cd|t|costimulatory|immune|antibodies
An alternate view is that cystspecific RNA synthesis during encystment is not necessary for the formation of cellulose synthase,synthase,1954,1954.0,18,walls|and|in|capsules|or|shells|wall|microfibrils|but|within
"VHF/UHF communications systems experience is essential, preferably including multiplex and microwave",microwave,1968,1931.0,18,digital|simulcast|ip|satellite|dvb|trunking|trunked|multi|vsat|remote
"Later studies revealed there was a mixture of two hormones. The second compound was noradrenalin, and the two substances were collectively named catecholamines",catecholamine,1951,1951.0,19,adrenaline|epinephrine|noradrenaline|norepinephrine|adrenalin|the|catecholamines|as|noradrenalin|ephedrine
‘Retwitter’. Is that in the Glossary? That's a good one! Or should it be a Retweet,retweet,2007,2007.0,19,new|hashtag|separate|word|link|tweet|verb|glossary|twitter|button
This catastrophic event [ sc. the collapse of the core of a supernova] involves an energy release that is more than two orders of magnitude larger than that involved in the visual explosion and takes place almost entirely by the emission of.. neutrinos,neutrino,1934,1934.0,21,gamma|neutrinos|electromagnetic|x|radiation|high|photons|neutrons|particles|radio
The distance of the Sun is determined most accurately by radar,radar,1941,1941.0,21,the|measuring|observing|using|means|a|astronomical|observations|comparing|its
"When there are minor logic loops involved, these intermediate values are extremely important in debugging",debugging,1941,1931.0,24,determining|order|the|making|helping|ensuring|finding|understanding|getting|terms
One of his companies had a very large defense contract for electronic explosive detonators that can be activated by computers using telephone modem,modem,1958,1958.0,24,lines|wires|modems|or|signals|connections|circuits|wire|calls|and
"Almost every page carries that arch public relations device, an image-making logo",logo,1937,1937.0,25,quote|caption|quotation|photograph|photo|picture|story|anecdote|headline|statement
The light armoured car which hauls the gun and carries the gun crew is called a jeep,jeep,1940,1940.0,29,gun|tankette|carrier|tractor|scout|halftrack|light|tank|self|m
"Attempts were made to increase the yield of desoxyribonucleic acid by adding citrate or phosphate ions to the glycine solution in order to bind magnesium ions, which presumably activate nucleases or polymerases",polymerase,1948,1948.0,30,interfere|other|inhibit|cause|otherwise|degrade|restrict|prevent|are|which
Interferometric methods have also found favour in the field of radar,radar,1957,1941.0,30,astronomy|remote|optical|medical|metrology|structural|surface|laser|particle|geodesy
"New words which are constructed out of initial letters are called, I understand, acronyms",acronym,1943,1940.0,31,acronyms|initialisms|acrostics|an|acrostic|a|neologisms|palindromes|anagrams|by
"McGrath reminds his Cambridge undergraduate audience of his position, as a product of the northern English working class; and of the relevance of such reminders when considering questions of assimilation and marginalization",marginalization,1940,1940.0,33,integration|identity|the|social|cultural|belonging|class|exclusion|alienation|difference
The girl scarcely turned her head: ‘Shutup yerself yer senseless git,git,1939,1939.0,33,fool|old|idiot|little|beast|brute|cow|thing|ass|creature
Volume rendering..involved assigning a color and an opacity to each point in a dataset,dataset,1958,1958.0,37,volume|mesh|sphere|cube|polygon|given|grid|plane|three|voxel
"Changes at this stage are readily achieved by a simple process of re-edit, assemble and download",download,1977,1977.0,38,re|print|render|burn|export|test|repeat|upload|compile|encode
Words made up of the initial letters or syllables of other words..I have seen..called by the name acronym,acronym,1943,1940.0,42,of|i|in|or|initialisms|given|that|by|made|initialism
The discovery of t seems neatly to fill out the list of the expected quarks,quark,1964,1964.0,45,elements|particles|isotopes|chemical|and|six|heavy|fundamental|four|t
"A page out of a textbook, elementary stuff, we had this in first-year med",med,1931,1931.0,46,physics|university|college|calculus|chemistry|engineering|economics|high|math|accounting
From there he proceeds to the machine-like properties of animals and so on up to responsible human personhood,personhood,1944,1944.0,47,beings|action|behavior|behaviour|life|agency|activity|agents|actions|conduct
Perry—trying not to look like he was the sort of dude who gets upset when he's puked on—looked up to give the bloke a thumbs-up when both he and Kev caught a face full of fresh vom,vom,1987,1987.0,59,vomit|puke|barf|spew|air|shit|dog|beer|water|urine
He had been using that moving water belt beyond the harbour as a bird uses a thermal,thermal,1933,1933.0,63,perch|nest|tree|reed|wind|rock|stick|pond|wing|chimney
"TI has come up with a paired minifloppy disc unit, that carries 1.2MB of data on double-sided, double-density diskettes",diskette,1973,1973.0,68,discs|disks|media|floppy|floppies|magnetic|cartridges|mini|diskettes|plastic
The next stage in humanities computing when a researcher wishes for a broader horizon than the humble micro,micro,1971,1971.0,79,desktop|text|spreadsheet|word|computer|pc|search|local|personal|laptop
"The smallest DNA molecules, those of certain viruses, are perhaps 70 times longer than the 75-nucleotide transfer-RNA molecules that were the subject of early RNA sequencing",sequencing,1961,1961.0,82,research|world|experiments|studies|theory|work|theories|chemistry|evolution|replication
"We flew over more icebergs and then landed at Gander, Newfoundland, where people in woolly tartan jackets drove around in jeeps",jeep,1940,1940.0,86,cars|trucks|old|pickup|snow|pick|pickups|big|four|huge
"In the debased, overheated, hyperbolic, and anti-intellectual world of TV talk shows, they'd [ sc. Gore Vidal and William F. Buckley] be branded elitist",elitist,1943,1938.0,91,as|a|the|enemies|with|by|an|intellectual|not|two
The University of California at Berkeley..announces the hours during which its business office ‘may be accessed,access,1978,1953.0,92,visited|consulted|reached|called|found|seen|attended|approached|con|entered
The overall winner had good lats and abs,ab,1956,1956.0,94,a|delts|traps|abs|shoulders|was|back|good|triceps|biceps
